id,company_name,industry,country,employee_count,annual_revenue_million,profit_margin_percent,founded_year,customer_count,market_rating,created_date,region
1,FinTrust_1,Finance,India,535,539.38,40.42,2010,81191,0.7,13-10-2025,Asia
2,TechNova_2,Technology,Germany,3806,852.42,39.55,2010,92162,3.4,01-12-2025,Europe
3,RetailHub_3,Retail,Canada,2779,257.11,23.68,1996,27532,2.9,04-05-2025,North America
4,BuildWorks_4,Manufacturing,USA,835,309.14,31.31,1993,90815,0.9,01-02-2026,North America
5,MediCorp_5,Healthcare,India,4490,988.68,43.65,1996,850,0.5,29-06-2025,Asia
6,FinTrust_6,Finance,Germany,1694,313.91,29.34,2000,41934,1.9,15-05-2024,Europe
7,TechNova_7,Technology,Canada,4928,565.72,35.61,2017,70154,3.6,31-10-2024,North America
8,RetailHub_8,Retail,USA,1634,198.82,28.41,2018,78446,2.3,07-10-2025,North America
9,BuildWorks_9,Manufacturing,India,3958,646.26,32.61,2014,58111,1.7,19-04-2025,Asia
10,MediCorp_10,Healthcare,Germany,3125,346.57,33.11,2009,69654,4.6,03-12-2025,Europe
11,FinTrust_11,Finance,Canada,4930,871.29,31.19,2015,24633,0.4,30-05-2024,North America
12,TechNova_12,Technology,USA,2409,388.33,12.5,2018,24551,0,19-06-2025,North America
13,RetailHub_13,Retail,India,933,174.68,27.62,2002,77281,2.3,25-07-2024,Asia
14,BuildWorks_14,Manufacturing,Germany,3475,79.96,38.26,2011,91851,1.4,24-02-2024,Europe
15,MediCorp_15,Healthcare,Canada,2585,570.33,35.95,2009,50321,1,21-08-2024,North America
16,FinTrust_16,Finance,USA,2846,1026.34,41.82,1992,94642,2,04-08-2024,North America
17,TechNova_17,Technology,India,2503,477.57,43.51,2018,6098,2.7,03-03-2025,Asia
18,RetailHub_18,Retail,Germany,1109,687.24,18.34,2003,51135,3.1,02-02-2024,Europe
19,BuildWorks_19,Manufacturing,Canada,1795,71.92,28.87,2010,71903,0.7,28-01-2025,North America
20,MediCorp_20,Healthcare,USA,4709,549.59,28.58,1990,35717,3.2,05-12-2024,North America
21,FinTrust_21,Finance,India,4881,999.66,11.86,2002,90596,2.8,01-10-2025,Asia
22,TechNova_22,Technology,Germany,491,1008.69,9.2,1993,57678,0.7,04-09-2025,Europe
23,RetailHub_23,Retail,Canada,406,748.32,27.29,1998,10705,0.1,23-01-2024,North America
24,BuildWorks_24,Manufacturing,USA,1105,857.9,18.77,2005,50855,0.4,14-09-2024,North America
25,MediCorp_25,Healthcare,India,4667,763.62,28.43,2009,56744,4.2,25-04-2024,Asia
26,FinTrust_26,Finance,Germany,1954,854.61,9.59,2000,70620,3.4,21-03-2025,Europe
27,TechNova_27,Technology,Canada,3205,478.97,33.07,1992,72328,0.4,16-08-2025,North America
28,RetailHub_28,Retail,USA,2949,63.36,21.03,1995,74156,2.1,22-08-2025,North America
29,BuildWorks_29,Manufacturing,India,1064,814.14,11.5,2015,81090,0.1,21-03-2024,Asia
30,MediCorp_30,Healthcare,Germany,1908,374.71,32.14,1992,68770,4.6,19-02-2024,Europe
31,FinTrust_31,Finance,Canada,4330,147.06,40.66,1999,77281,3.7,23-08-2024,North America
32,TechNova_32,Technology,USA,1120,385.1,39.18,2017,95637,4,06-08-2024,North America
33,RetailHub_33,Retail,India,1136,342.81,25.25,2010,7250,2.4,03-02-2026,Asia
34,BuildWorks_34,Manufacturing,Germany,716,137.01,30.72,2003,91129,1.3,08-11-2024,Europe
35,MediCorp_35,Healthcare,Canada,4745,106.26,30.76,2016,70515,0.8,26-02-2024,North America
36,FinTrust_36,Finance,USA,363,976.01,28.95,2019,92468,2.9,15-03-2024,North America
37,TechNova_37,Technology,India,291,299.4,39.08,1991,73507,4.3,06-04-2025,Asia
38,RetailHub_38,Retail,Germany,2574,176.76,38.96,1991,69083,3.3,19-09-2024,Europe
39,BuildWorks_39,Manufacturing,Canada,4179,67.32,19.37,2017,75484,2,09-12-2024,North America
40,MediCorp_40,Healthcare,USA,1484,777.69,5.73,1991,94213,1.1,10-10-2025,North America
41,FinTrust_41,Finance,India,206,258.26,24.23,2016,89355,1.7,04-02-2024,Asia
42,TechNova_42,Technology,Germany,2102,227,27.41,1995,26898,1,10-05-2025,Europe
43,RetailHub_43,Retail,Canada,2836,387.58,14.52,2000,58691,2.4,03-10-2025,North America
44,BuildWorks_44,Manufacturing,USA,1679,353.97,7.73,2008,10407,3.9,03-02-2024,North America
45,MediCorp_45,Healthcare,India,774,270.42,15.86,2017,25782,0.1,18-12-2024,Asia
46,FinTrust_46,Finance,Germany,2743,72.54,40.55,1999,16489,2.5,17-10-2024,Europe
47,TechNova_47,Technology,Canada,215,271.03,26.31,1995,85096,2.2,03-01-2024,North America
48,RetailHub_48,Retail,USA,1742,1049.84,43.28,2001,98412,3.6,25-02-2024,North America
49,BuildWorks_49,Manufacturing,India,4309,783.17,13.88,2012,70431,2.8,24-11-2025,Asia
50,MediCorp_50,Healthcare,Germany,110,904.18,42.08,2012,2825,2,11-06-2025,Europe
51,FinTrust_51,Finance,Canada,1585,419.79,34.01,2002,52739,4.5,29-01-2024,North America
52,TechNova_52,Technology,USA,1048,502.11,41.24,2017,28147,1.2,28-08-2024,North America
53,RetailHub_53,Retail,India,2882,861.41,14.77,1998,95636,3.8,09-11-2024,Asia
54,BuildWorks_54,Manufacturing,Germany,888,316.91,23.49,2008,16797,2.1,14-02-2026,Europe
55,MediCorp_55,Healthcare,Canada,451,564.26,8.6,1996,22290,3.4,14-09-2025,North America
56,FinTrust_56,Finance,USA,2733,769.68,34.54,1992,69325,2.5,14-12-2025,North America
57,TechNova_57,Technology,India,2402,245.84,19.46,2005,55386,0.5,16-03-2024,Asia
58,RetailHub_58,Retail,Germany,2373,641.6,15.46,2014,6058,2.5,08-06-2024,Europe
59,BuildWorks_59,Manufacturing,Canada,2694,233.66,17.65,2011,12372,0.6,10-01-2024,North America
60,MediCorp_60,Healthcare,USA,855,870.66,18.74,2001,27528,4.1,16-02-2025,North America
61,FinTrust_61,Finance,India,2157,357.59,22.89,2005,9802,3.5,27-03-2025,Asia
62,TechNova_62,Technology,Germany,3938,336.14,21.54,2007,81456,0.9,28-09-2024,Europe
63,RetailHub_63,Retail,Canada,2838,55.34,32.45,2012,43291,1,06-01-2025,North America
64,BuildWorks_64,Manufacturing,USA,3577,204.83,42.91,2010,1160,4.3,03-03-2024,North America
65,MediCorp_65,Healthcare,India,1244,269.53,7.92,2005,45963,4.9,21-12-2024,Asia
66,FinTrust_66,Finance,Germany,2926,421.88,22.42,1994,73010,3.2,17-11-2024,Europe
67,TechNova_67,Technology,Canada,2959,632.44,44.72,1995,49409,4.8,28-05-2024,North America
68,RetailHub_68,Retail,USA,390,407.7,10.26,1995,96497,2.9,11-01-2024,North America
69,BuildWorks_69,Manufacturing,India,1877,541.35,13.2,2010,38258,3.8,20-06-2024,Asia
70,MediCorp_70,Healthcare,Germany,4655,1047.51,30.72,2018,50943,2.2,12-10-2025,Europe
71,FinTrust_71,Finance,Canada,151,188.9,11.14,2004,84797,0.2,09-01-2025,North America
72,TechNova_72,Technology,USA,1083,426.66,15.74,2007,80136,4.9,10-01-2025,North America
73,RetailHub_73,Retail,India,1775,642.5,6.98,2010,39249,3.6,01-08-2024,Asia
74,BuildWorks_74,Manufacturing,Germany,4393,323.68,16.21,2015,25927,0.8,27-09-2025,Europe
75,MediCorp_75,Healthcare,Canada,2399,282.97,38.18,1994,72933,3.4,14-03-2025,North America
76,FinTrust_76,Finance,USA,966,186.29,15.32,2006,44058,1.5,01-01-2024,North America
77,TechNova_77,Technology,India,2355,854.64,38.19,2003,15120,2.8,11-04-2024,Asia
78,RetailHub_78,Retail,Germany,157,551.86,18.12,2008,83372,4.5,15-12-2025,Europe
79,BuildWorks_79,Manufacturing,Canada,3093,62.47,24.53,1999,84746,4.9,22-02-2026,North America
80,MediCorp_80,Healthcare,USA,2243,52.2,8.75,2000,53800,0.7,30-04-2025,North America
81,FinTrust_81,Finance,India,2818,964.98,43.46,2007,85230,3.6,28-01-2025,Asia
82,TechNova_82,Technology,Germany,812,912.67,42.68,1999,50323,3,11-03-2024,Europe
83,RetailHub_83,Retail,Canada,442,948.37,26.78,2015,18442,2.9,15-02-2024,North America
84,BuildWorks_84,Manufacturing,USA,4034,433.1,22.06,1993,34359,2.1,13-02-2024,North America
85,MediCorp_85,Healthcare,India,2736,633.69,13.26,2005,10711,3.3,03-09-2025,Asia
86,FinTrust_86,Finance,Germany,192,434.18,5.96,1995,84208,2.3,11-06-2024,Europe
87,TechNova_87,Technology,Canada,745,278.65,44.25,2003,89921,2.7,09-11-2025,North America
88,RetailHub_88,Retail,USA,506,517.12,30.33,2018,65847,3.2,09-11-2025,North America
89,BuildWorks_89,Manufacturing,India,2098,489.71,10.68,1996,37367,3.4,10-11-2025,Asia
90,MediCorp_90,Healthcare,Germany,3094,276.32,36.22,1994,91558,4.1,15-07-2025,Europe
91,FinTrust_91,Finance,Canada,4489,650.8,27.34,2019,32724,0.9,14-05-2025,North America
92,TechNova_92,Technology,USA,4049,250.8,32.27,2015,41741,2.5,14-09-2024,North America
